theta,sigma,gain_u_over_x,J_mean,J_mean_se,theta_eval,J_exp,J_exp_se
0.0,0.7,-0.9910786349118781,1.5040637520723001,0.01080653217608703,1.0,2.8965100378774906,0.08669829713578159
0.25,0.7,-1.0500042913503527,1.504816887274694,0.010662496640688732,0.25,1.6746330061934112,0.014632478416453945
0.5,0.7,-1.150858892473495,1.5110040080757237,0.01042387326177082,0.5,1.9087054092014037,0.023399788997096743
0.75,0.7,-1.2691005444514516,1.5250908355477009,0.010194914224885294,0.75,2.23397480500838,0.041981050463688774
1.0,0.7,-1.4084748604030555,1.549453575602349,0.009982577056286872,1.0,2.656329498160992,0.07007170850138028
